,coingecko_id,symbol,base_asset,market_cap_usd,volume_usd,price,price_change_pct,high_24h,low_24h,source
72,jasmycoin,JASMY/USDT,JASMY,"$1,012,643,920.00","$35,494,878.07",$0.02085000,0.68%,$0.02168000,$0.01890000,"binance,kucoin"
73,layerzero,ZRO/USDT,ZRO,"$411,487,599.00","$34,771,705.88",$3.69400000,1.62%,$4.02900000,$3.40300000,binance
74,zksync,ZK/USDT,ZK,"$559,046,921.00","$34,742,342.35",$0.15300000,1.32%,$0.16120000,$0.14160000,binance
75,ethereum-name-service,ENS/USDT,ENS,"$583,941,608.00","$34,157,850.38",$17.51000000,-2.72%,$18.43000000,$16.50000000,binance
76,lido-dao,LDO/USDT,LDO,"$1,066,623,114.00","$33,361,668.15",$1.19600000,1.70%,$1.21300000,$1.07000000,binance
77,wrapped-bitcoin,WBTC/USDT,WBTC,"$13,516,231,021.00","$24,706,279.59","$91,871.82000000",4.84%,"$92,954.19000000","$85,941.25000000",binance
78,terra-luna,LUNC/USDT,LUNC,"$559,193,027.00","$24,396,411.19",$0.00010304,1.15%,$0.00010716,$0.00009504,binance
79,the-graph,GRT/USDT,GRT,"$1,805,615,849.00","$24,299,596.59",$0.18760000,-0.85%,$0.19510000,$0.17310000,binance
80,dydx-chain,DYDX/USDT,DYDX,"$895,212,911.00","$23,544,501.13",$1.28210000,4.17%,$1.28350000,$1.12010000,binance
81,chiliz,CHZ/USDT,CHZ,"$611,240,920.00","$23,033,108.44",$0.06710000,1.82%,$0.06930000,$0.06180000,binance
82,wormhole,W/USDT,W,"$675,619,943.00","$22,460,739.44",$0.24860000,-0.84%,$0.25890000,$0.22540000,binance
83,monero,XMR/USDT,XMR,"$2,774,919,493.00","$13,278,906.10",$150.00000000,-2.36%,$155.13000000,$145.12000000,kucoin
84,moo-deng,MOODENG/USDT,MOODENG,"$347,052,842.00","$12,163,414.73",$0.34610000,5.13%,$0.42770000,$0.27790000,kucoin
85,ondo-finance,ONDO/USDT,ONDO,"$1,337,507,521.00","$12,013,916.77",$0.93370000,6.26%,$0.95000000,$0.79132000,kucoin
86,degen-base,DEGEN/USDT,DEGEN,"$317,312,166.00","$11,523,494.25",$0.01811000,-5.92%,$0.02182000,$0.01653000,kucoin
87,based-brett,BRETT/USDT,BRETT,"$1,265,611,883.00","$8,124,543.70",$0.12692000,5.59%,$0.13201000,$0.10473000,kucoin
88,kaspa,KAS/USDT,KAS,"$3,288,496,677.00","$8,114,610.83",$0.13032000,-5.41%,$0.14304000,$0.12882000,kucoin
89,crypto-com-chain,CRO/USDT,CRO,"$4,847,156,854.00","$6,599,101.90",$0.18133000,-0.04%,$0.19883000,$0.15543000,kucoin
90,goatseus-maximus,GOAT/USDT,GOAT,"$858,305,655.00","$5,866,794.83",$0.85460000,-9.69%,$0.98320000,$0.80000000,kucoin
91,aioz-network,AIOZ/USDT,AIOZ,"$888,629,040.00","$5,625,295.32",$0.78978000,5.86%,$0.84469000,$0.63856000,kucoin
92,grass,GRASS/USDT,GRASS,"$742,692,577.00","$4,708,389.29",$2.97330000,-2.38%,$3.12290000,$2.70840000,kucoin
93,popcat,POPCAT/USDT,POPCAT,"$1,644,173,271.00","$4,681,055.42",$1.66150000,6.37%,$1.76000000,$1.38000000,kucoin
94,cat-in-a-dogs-world,MEW/USDT,MEW,"$925,058,199.00","$4,147,303.53",$0.01056800,7.46%,$0.01063300,$0.00896600,kucoin
95,mog-coin,MOG/USDT,MOG,"$783,627,722.00","$2,928,648.73",$0.00000202,12.55%,$0.00000217,$0.00000163,kucoin
96,conflux-token,CFX/USDT,CFX,"$730,497,458.00","$2,720,700.14",$0.15930000,1.14%,$0.16450000,$0.14180000,kucoin
97,akash-network,AKT/USDT,AKT,"$831,725,332.00","$2,640,950.07",$3.32160000,2.03%,$3.53240000,$2.91990000,kucoin
98,beldex,BDX/USDT,BDX,"$547,765,689.00","$2,358,493.70",$0.08170000,0.51%,$0.08269000,$0.08040000,kucoin
99,theta-token,THETA/USDT,THETA,"$1,428,117,438.00","$1,925,583.24",$1.42920000,0.07%,$1.47460000,$1.31170000,kucoin
